id,outcome,serve,rally,hitpoint,speed,net.clearance,distance.from.sideline,depth,outside.sideline,outside.baseline,player.distance.travelled,player.impact.depth,player.impact.distance.from.center,player.depth,player.distance.from.center,previous.speed,previous.net.clearance,previous.distance.from.sideline,previous.depth,opponent.depth,opponent.distance.from.center,same.side,previous.hitpoint,previous.time.to.net,server.is.impact.player
6516,UE,1,3,F,31.69,0.85,0.83,2.62,0,1,3.07,9.46,3.31,11.32,0.87,24.00,0.21,1.80,7.38,12.70,3.52,0,U,0.64,1
1361,W,1,7,B,37.27,0.30,0.19,3.30,0,0,1.12,12.61,0.36,13.11,1.36,30.29,0.74,3.09,4.66,14.66,1.73,0,F,0.58,1
9392,FE,1,4,F,24.51,4.28,1.63,0.84,0,1,3.49,14.88,3.28,14.01,0.10,33.61,0.34,1.14,2.65,7.13,0.95,0,F,0.28,0
4599,UE,2,16,U,27.97,-0.95,0.54,0.83,0,1,1.43,13.41,2.39,13.04,1.01,34.06,0.51,3.72,2.55,12.45,2.25,0,U,0.42,0
4093,W,2,4,V,31.63,0.01,3.38,11.87,0,0,1.03,14.42,0.70,13.46,0.36,32.95,0.70,2.81,2.64,12.51,0.12,0,F,0.42,0
1641,UE,2,3,B,24.18,1.17,2.13,0.16,0,1,1.58,13.04,0.40,11.64,0.34,33.89,0.50,2.57,4.43,12.55,3.25,0,B,0.42,1
7752,UE,1,7,F,41.00,0.89,2.83,0.76,0,1,3.20,13.75,3.45,13.61,0.25,37.05,0.66,0.95,3.59,13.70,1.40,0,F,0.46,1
3300,W,1,3,F,38.06,0.12,0.19,4.12,0,0,0.94,11.27,0.54,11.28,0.41,27.22,0.13,3.97,7.25,13.02,2.87,0,B,0.56,1
6845,W,2,11,F,37.54,0.71,1.31,3.65,0,0,5.51,5.67,1.30,11.17,1.15,21.96,2.65,2.08,6.46,14.92,1.90,1,V,0.97,1
5758,UE,1,10,F,32.05,2.39,1.34,2.04,0,1,1.59,13.43,3.62,13.24,2.04,37.52,0.62,2.15,2.38,14.33,3.07,0,B,0.46,0
1614,W,2,7,U,17.32,0.39,0.96,2.94,0,0,1.50,3.21,0.89,4.71,1.04,43.38,0.25,3.74,9.07,14.74,3.34,1,V,0.40,1
8154,FE,1,4,B,37.92,0.57,1.05,2.94,0,0,2.41,13.82,2.07,13.75,0.34,34.37,0.17,2.09,5.76,12.09,1.44,1,F,0.40,0
9482,UE,2,6,F,40.13,0.75,0.01,0.11,0,1,4.19,13.08,2.14,13.91,1.96,27.63,1.01,2.02,5.64,14.75,0.53,1,F,0.67,0
2366,W,2,9,F,35.18,0.04,0.09,5.27,0,0,3.05,13.86,2.39,13.87,0.65,38.89,0.48,1.71,3.24,13.75,0.08,1,F,0.42,1
2913,UE,2,4,F,34.96,0.69,0.16,2.47,1,0,1.37,12.61,3.67,13.13,2.40,24.35,0.48,2.14,2.88,12.29,3.40,0,B,0.59,0
846,UE,2,4,B,37.52,1.06,3.92,0.81,0,1,2.03,14.46,1.25,13.72,0.64,36.75,0.54,2.38,2.77,12.82,0.85,1,F,0.40,0
4726,W,2,3,F,41.73,0.51,0.75,1.42,0,0,2.04,12.31,2.57,11.33,0.78,29.69,0.92,1.55,4.97,15.06,3.35,0,B,0.61,1
4115,UE,1,6,F,41.50,0.19,0.24,4.50,1,0,1.69,13.86,2.65,13.72,0.98,33.86,1.08,3.42,2.31,13.68,3.40,0,B,0.48,0
4156,W,2,9,F,30.48,0.41,0.31,7.11,0,0,3.41,14.30,2.41,13.25,0.83,28.74,0.28,1.40,4.00,10.40,2.03,0,F,0.38,1
8712,UE,1,5,B,35.99,-0.14,1.89,7.38,0,0,1.52,12.87,1.21,12.47,0.26,33.08,0.59,1.89,3.42,13.92,1.43,0,F,0.50,1
5871,UE,1,7,F,29.78,2.06,3.31,1.13,0,1,3.15,14.70,3.18,14.08,0.09,40.39,0.21,1.53,5.03,13.64,1.65,0,F,0.39,1
3379,UE,1,7,F,38.72,1.17,2.60,0.46,0,1,1.76,15.02,0.98,14.31,0.64,41.74,0.12,2.78,5.62,13.85,0.70,0,F,0.38,1
5026,FE,2,8,B,32.09,1.42,2.99,0.76,0,1,5.06,15.08,3.62,15.88,1.38,38.96,0.36,1.18,4.47,13.03,1.19,1,F,0.38,0
8333,UE,1,6,B,38.66,1.19,1.40,2.81,0,1,4.82,13.95,1.46,15.40,3.14,29.16,1.17,1.53,3.04,13.34,1.95,0,F,0.54,0
7115,W,2,6,F,40.07,0.47,0.34,2.52,0,0,1.33,13.44,0.09,13.42,1.42,32.03,0.76,3.94,4.93,14.37,1.20,1,F,0.54,0
6478,FE,1,20,F,40.23,-0.08,2.34,6.60,0,0,3.68,14.86,3.17,14.76,0.51,34.69,0.75,1.31,4.14,13.59,0.29,0,F,0.48,0
4895,FE,1,4,B,33.01,1.05,0.24,1.17,1,1,3.11,15.08,2.87,14.50,0.19,37.73,0.06,1.43,5.16,8.96,1.05,1,F,0.25,0
2397,W,1,3,F,34.37,0.22,0.77,5.90,0,0,0.63,11.39,0.72,11.04,1.24,24.75,0.85,2.82,3.89,13.03,4.30,0,B,0.60,1
6679,W,1,6,B,19.61,3.93,1.26,1.32,0,0,1.88,13.40,1.89,15.19,2.44,25.67,0.50,1.98,1.25,6.36,0.36,0,B,0.23,0
2726,UE,1,11,F,39.89,0.81,0.18,2.51,1,0,4.00,12.56,1.28,14.68,2.12,25.91,0.68,2.57,5.21,13.31,0.69,1,F,0.60,1
7955,W,1,7,F,36.63,0.26,2.17,3.22,0,0,6.60,7.35,3.10,13.43,0.54,16.52,1.39,0.55,6.99,12.66,0.56,1,F,0.98,1
5236,W,1,5,F,12.75,0.16,1.78,7.99,0,0,2.55,5.01,0.20,7.51,0.72,33.28,0.56,2.82,7.15,15.93,2.46,1,V,0.56,1
3249,W,2,7,F,13.09,0.11,1.67,6.44,0,0,2.77,4.91,0.07,7.64,0.36,33.59,0.21,3.19,7.44,15.17,2.75,1,V,0.57,1
2815,FE,1,4,F,40.82,0.13,0.54,4.34,1,0,4.91,15.76,3.82,13.76,0.66,32.32,0.53,0.45,3.86,10.76,1.44,0,F,0.37,0
4325,W,2,4,F,39.50,0.38,0.79,2.00,0,0,2.84,11.13,2.45,12.94,0.27,20.72,0.93,3.39,4.06,10.79,2.21,0,F,0.63,0
506,UE,1,3,F,32.92,1.54,2.83,0.71,0,1,3.72,12.47,4.03,11.32,0.49,29.94,1.08,0.54,3.35,13.06,4.39,0,F,0.52,1
4367,W,1,5,F,18.43,0.04,1.38,5.74,0,0,2.52,3.19,0.03,5.65,0.52,31.36,0.60,2.81,9.07,15.44,2.03,1,V,0.58,1
8654,UE,1,3,F,31.84,1.01,1.74,0.79,0,1,1.29,11.43,2.30,11.26,1.02,35.40,0.41,2.11,4.29,13.00,4.50,0,F,0.43,1
8512,FE,2,10,U,22.66,2.94,2.10,2.38,0,0,3.89,15.27,0.51,15.38,3.38,39.42,0.33,0.67,3.80,13.32,3.10,0,F,0.38,0
2056,W,1,4,B,23.52,0.21,1.06,7.91,0,0,2.60,13.64,2.32,13.47,0.28,34.77,0.29,0.43,3.81,10.00,2.19,0,F,0.30,0
4470,UE,1,6,F,36.74,0.92,0.38,0.76,0,1,3.62,10.52,3.26,13.77,1.67,20.78,0.65,2.43,4.52,11.44,3.09,0,B,0.66,0
688,UE,1,5,F,35.74,1.26,2.79,0.36,0,1,2.96,13.30,2.60,12.50,0.25,33.05,1.45,1.20,2.23,14.63,2.32,1,F,0.54,1
8663,W,1,3,F,36.75,0.13,0.79,6.12,0,0,2.84,10.90,2.00,11.37,0.80,20.09,2.01,3.34,3.85,12.98,2.89,0,B,0.82,1
6507,UE,2,3,F,28.13,0.65,0.38,4.09,1,0,1.82,12.81,0.47,11.23,1.37,32.05,0.77,3.47,1.82,12.35,2.58,0,B,0.43,1
6669,W,2,5,U,25.35,0.68,1.00,3.39,0,0,3.42,5.54,1.52,8.95,1.19,26.39,1.20,1.02,6.99,13.77,3.00,1,V,0.69,1
9260,FE,2,8,F,12.83,-0.08,1.71,10.43,0,0,5.10,7.26,2.54,10.40,1.48,26.23,0.23,0.24,5.83,13.37,4.48,0,B,0.69,0
667,FE,2,4,B,18.18,0.15,0.40,8.84,1,0,2.33,13.66,4.20,12.98,1.98,36.91,0.63,0.01,1.70,12.31,2.76,0,B,0.39,0
2153,FE,1,7,U,13.72,-0.95,1.82,0.11,1,0,6.59,16.19,3.85,13.94,2.34,36.75,0.23,1.24,3.01,12.48,2.87,0,U,0.37,1
1888,UE,1,12,B,37.06,-0.04,3.88,6.31,0,0,3.92,14.55,0.95,14.71,2.97,33.69,0.95,2.25,0.45,12.69,1.33,0,F,0.43,0
1156,UE,2,7,B,27.73,-0.05,2.73,5.01,0,0,1.07,13.42,3.24,14.34,2.71,33.57,0.19,1.60,4.70,12.69,2.49,0,B,0.45,1
7387,UE,1,8,F,26.78,3.49,3.20,2.54,0,1,1.70,13.64,3.59,13.51,1.90,33.25,0.84,2.03,0.84,12.25,2.19,0,B,0.41,0
2652,FE,2,10,F,27.76,1.52,1.01,1.17,0,1,1.69,16.27,1.82,15.01,0.70,40.94,0.30,0.89,4.24,12.63,4.44,1,F,0.35,0
5983,UE,2,7,B,34.89,1.49,2.00,2.15,0,1,0.95,15.51,1.97,14.74,1.42,35.63,0.68,2.23,2.66,12.75,2.12,0,F,0.41,1
7587,UE,2,4,B,31.15,-0.18,3.07,7.85,0,0,3.93,13.54,2.06,12.33,1.68,33.31,0.05,1.73,5.65,12.30,0.91,0,F,0.42,0
5463,UE,2,11,B,11.19,1.05,0.61,7.78,1,0,6.21,5.20,0.80,10.14,2.96,24.02,0.43,2.82,7.52,16.09,1.03,1,V,0.88,1
7756,UE,1,8,F,33.44,1.55,3.38,1.64,0,1,0.65,15.26,3.49,15.10,2.87,38.27,0.95,0.58,0.79,12.57,1.44,0,F,0.38,0
1874,FE,1,4,B,28.58,1.12,2.38,0.43,0,1,3.67,14.81,2.64,14.04,0.95,32.84,0.53,0.57,3.01,11.35,1.32,0,F,0.39,0
5126,FE,1,4,B,17.70,-0.87,3.29,11.78,0,0,7.03,14.79,3.38,13.01,3.42,31.27,0.70,0.21,3.04,12.60,0.33,0,F,0.47,0
6102,UE,1,20,F,31.38,0.86,0.14,3.85,1,0,0.83,13.07,2.54,12.24,2.61,27.95,0.84,2.87,1.64,14.07,1.85,0,B,0.61,0
8275,W,2,8,F,30.27,0.75,0.84,0.24,0,0,4.07,8.57,0.31,12.18,2.19,26.67,0.24,4.06,6.49,15.76,2.47,1,F,0.75,0
4126,UE,2,6,V,22.60,3.00,0.54,0.81,0,1,1.30,16.14,2.67,15.60,1.48,38.45,0.75,0.81,0.38,11.98,1.01,0,F,0.35,0
4930,UE,1,6,F,34.89,1.01,2.15,0.13,0,1,2.24,13.29,2.25,13.81,0.08,37.22,0.19,2.68,5.56,12.96,2.27,0,F,0.41,0
7209,UE,2,3,F,35.26,-0.05,2.06,7.38,0,0,0.85,12.40,1.15,11.57,1.34,31.82,0.34,3.60,6.06,13.45,2.98,0,B,0.49,1
5044,UE,2,7,B,27.12,0.00,3.74,6.34,0,0,1.30,13.94,2.84,14.06,1.55,34.46,0.47,1.64,5.69,14.53,2.41,0,F,0.51,1
3019,FE,1,12,F,30.95,-0.20,1.80,8.02,0,0,5.68,13.50,3.14,14.68,2.41,21.46,0.39,0.99,1.93,6.18,0.53,1,B,0.29,0
1419,W,2,25,B,23.76,1.02,1.40,4.15,0,0,2.29,6.56,2.55,4.44,1.67,18.65,3.19,0.30,4.43,11.64,3.42,1,V,1.02,1
1165,W,1,4,B,36.61,0.11,1.43,5.84,0,0,3.55,15.25,3.26,14.98,0.28,30.51,0.28,1.21,5.90,10.18,0.36,1,F,0.36,0
9403,FE,1,4,B,28.12,-0.44,1.80,9.89,0,0,3.24,15.43,2.38,13.85,0.45,36.03,0.54,0.63,2.21,12.23,1.43,0,F,0.37,0
6314,UE,2,12,F,39.32,0.55,0.19,0.24,1,0,0.48,13.18,3.51,13.66,3.50,34.67,0.31,1.74,5.67,12.96,1.70,0,F,0.44,0
8022,FE,1,4,F,34.78,1.74,2.23,2.26,0,1,2.42,13.39,1.68,13.72,0.72,35.70,0.08,1.29,5.39,12.25,2.13,0,B,0.37,0
3287,UE,2,5,F,31.59,-0.10,2.73,7.71,0,0,1.83,13.60,2.54,12.04,1.58,33.62,0.71,2.93,1.56,13.67,1.83,0,B,0.47,1
2481,W,1,3,F,36.76,0.48,1.38,2.19,0,0,4.00,9.85,2.69,11.34,1.01,19.06,1.69,0.44,4.90,13.47,3.95,0,B,0.88,1
6130,W,2,9,B,28.01,0.29,0.41,3.32,0,0,2.63,14.97,4.28,14.92,1.65,35.43,0.23,0.78,5.13,11.88,3.43,0,F,0.41,1
7128,UE,2,11,B,27.90,-0.11,3.49,6.78,0,0,1.90,14.58,2.75,14.97,0.90,34.64,0.22,1.23,6.35,14.37,0.21,0,F,0.50,1
7695,UE,2,6,U,31.37,0.87,0.13,0.06,1,1,4.82,9.04,1.60,13.86,1.77,19.74,0.64,3.29,6.95,13.98,0.99,1,F,0.92,0
4973,W,1,4,F,37.89,0.55,0.79,3.31,0,0,2.63,15.42,1.55,14.76,0.99,37.80,0.35,1.70,2.34,11.31,3.51,0,F,0.33,0
4788,UE,2,8,F,35.64,1.77,0.93,1.75,0,1,4.49,15.28,2.88,15.19,1.60,35.60,0.12,1.68,5.34,12.17,0.82,0,F,0.37,0
6403,W,1,4,F,37.26,0.91,0.47,0.38,0,0,2.75,15.31,1.03,14.53,1.61,36.43,0.43,1.63,2.79,12.13,4.37,0,B,0.37,0
3426,UE,1,3,F,37.49,1.35,0.83,1.67,0,1,2.98,14.18,0.37,11.40,0.71,25.34,1.33,4.08,0.87,12.73,4.32,0,F,0.59,1
4539,UE,1,8,F,38.43,-0.06,2.06,7.64,0,0,1.96,13.34,3.46,13.46,1.50,25.40,1.24,2.42,1.75,14.89,2.35,0,B,0.72,0
1043,W,1,5,F,29.36,0.37,1.11,7.88,0,0,3.31,15.06,3.89,14.63,0.61,31.54,0.28,1.30,4.80,9.91,0.37,0,F,0.33,1
5944,W,2,7,B,37.17,0.15,0.12,4.82,0,0,1.92,12.35,2.26,14.18,1.69,28.19,0.76,2.03,4.78,13.53,3.61,0,F,0.62,1
8774,UE,1,5,F,39.90,0.82,1.57,0.48,0,1,1.25,12.26,0.46,13.05,1.42,21.72,1.84,3.94,2.86,15.57,2.67,1,F,0.93,1
8660,UE,1,11,B,23.59,2.56,2.66,1.15,0,1,1.06,13.79,1.23,13.86,0.18,34.09,0.69,1.58,0.61,12.18,2.72,1,F,0.39,1
6807,W,1,3,F,37.44,0.47,1.49,2.94,0,0,3.57,10.14,3.03,11.22,0.37,19.95,2.54,2.40,4.08,13.48,2.75,0,B,0.89,1
3954,UE,2,3,B,32.51,-0.19,2.51,7.82,0,0,1.67,12.39,0.94,11.45,0.43,23.03,0.66,2.61,3.34,11.47,2.67,0,B,0.57,1
4562,UE,2,3,B,32.75,-0.13,3.92,6.34,0,0,1.81,12.68,2.75,11.64,1.27,24.10,0.83,1.88,2.71,11.04,4.09,0,B,0.54,1
5347,W,1,5,F,39.53,0.26,0.26,4.30,0,0,0.36,13.67,2.34,13.54,2.67,23.44,1.17,3.41,1.68,13.23,4.94,0,B,0.71,1
9031,W,2,11,F,39.57,0.17,0.70,4.66,0,0,2.21,12.56,1.68,11.92,0.43,23.50,1.42,3.58,2.39,15.27,2.31,0,F,0.81,1
5433,UE,2,6,F,36.63,-0.03,1.64,6.90,0,0,2.46,13.41,0.52,13.72,1.92,31.22,0.34,2.45,3.54,12.53,1.89,0,B,0.44,0
2031,W,1,3,F,32.81,0.64,0.30,3.44,0,0,2.30,12.30,1.75,11.21,0.28,28.30,0.67,3.25,4.81,13.35,2.33,0,B,0.56,1
7307,W,1,3,F,33.78,0.30,0.60,3.18,0,0,0.45,11.26,0.85,11.17,1.28,33.51,0.20,3.41,4.59,13.03,3.91,0,B,0.45,1
5209,UE,2,15,B,30.73,1.13,1.29,0.97,1,0,0.09,13.05,1.29,12.97,1.33,37.73,0.55,2.04,2.29,14.87,1.17,1,F,0.46,1
1325,UE,1,3,F,40.20,-0.31,2.10,11.04,1,0,2.06,10.90,2.90,11.54,0.94,23.98,0.95,3.07,3.94,13.02,3.81,0,B,0.65,1
7638,UE,2,6,F,33.14,-0.04,2.00,7.91,0,0,3.16,12.47,1.23,13.04,1.88,26.21,1.67,2.30,2.86,13.15,0.93,1,F,0.62,0
2626,FE,1,4,F,30.32,1.13,1.00,4.66,1,0,5.77,17.03,2.53,14.57,2.70,29.18,0.37,0.48,4.74,8.56,4.72,0,F,0.32,0
7927,FE,2,6,B,33.18,-0.57,0.45,8.87,0,0,2.39,12.42,1.44,14.32,2.89,22.31,0.07,2.76,3.83,6.48,0.52,0,B,0.29,0
3539,W,1,4,B,35.19,0.28,0.93,2.69,0,0,4.15,12.70,1.93,12.79,2.21,24.69,0.49,2.26,3.33,12.13,0.49,1,B,0.57,0
6367,W,1,4,V,29.92,0.68,1.69,7.87,0,0,5.90,14.18,1.24,12.57,4.43,31.00,0.77,2.18,1.44,11.17,0.33,0,F,0.39,0
9401,UE,2,8,F,34.03,-0.11,1.74,7.69,0,0,1.83,13.25,0.87,12.86,0.91,33.07,1.22,2.70,0.91,14.55,1.31,1,F,0.52,0
254,W,1,6,F,21.78,3.82,2.43,0.81,0,0,4.12,12.96,0.83,14.04,3.14,18.86,0.68,2.33,0.82,6.92,0.59,0,B,0.39,0
3461,W,2,10,F,32.03,1.04,1.14,2.29,0,0,1.43,13.44,2.81,13.63,1.40,35.81,0.38,3.28,5.16,14.38,3.04,0,F,0.48,0
4279,W,2,4,F,39.03,0.19,0.89,4.04,0,0,1.71,10.99,1.00,11.87,0.46,20.65,1.67,3.80,3.50,13.05,2.66,0,F,0.84,0
9137,UE,1,3,B,34.66,0.73,0.80,1.49,1,0,3.29,12.54,2.10,11.27,0.93,24.67,0.61,1.04,3.42,12.65,4.44,0,F,0.57,1
2676,FE,2,5,B,29.58,0.52,0.41,2.83,1,0,1.50,14.35,3.53,14.18,2.03,33.21,0.41,0.92,4.10,11.06,2.01,0,F,0.39,1
6921,W,2,4,V,41.93,0.01,2.83,11.88,0,0,1.85,9.48,2.02,11.29,1.60,17.72,2.26,3.06,5.23,12.53,0.65,1,F,0.95,0
7884,UE,1,9,F,33.61,0.91,0.15,1.08,1,0,2.31,12.17,1.96,14.31,2.85,24.90,0.71,3.54,3.48,14.76,2.86,0,B,0.72,1
5377,W,1,6,F,38.00,0.40,0.30,2.31,0,0,2.01,12.43,2.85,14.11,1.74,25.03,0.41,2.78,4.22,13.01,2.09,0,B,0.63,0
357,W,2,5,F,33.85,1.13,0.01,0.17,0,0,1.82,12.79,2.76,13.13,0.98,32.12,0.31,3.31,5.29,13.44,1.84,0,B,0.48,1
6704,W,1,3,F,36.32,0.25,0.28,3.82,0,0,1.47,10.62,1.84,11.37,0.58,20.58,1.03,1.68,5.02,13.22,2.52,0,B,0.80,1
3791,FE,2,4,F,32.02,-0.10,3.45,8.28,0,0,4.75,14.90,2.76,13.67,1.84,34.45,0.33,0.83,4.13,12.38,2.65,0,F,0.40,0
4758,W,1,6,F,29.76,0.46,2.15,4.94,0,0,3.29,11.93,0.23,14.38,2.42,20.02,0.17,2.91,5.18,5.23,1.15,0,B,0.27,0
8856,UE,1,3,F,38.03,-0.09,1.70,7.47,0,0,2.66,12.21,1.66,11.18,0.80,23.11,1.13,2.89,3.38,12.56,4.27,0,F,0.65,1
5178,W,1,3,F,31.91,0.05,0.94,5.97,0,0,1.72,9.97,1.63,11.53,0.88,24.01,0.33,3.68,6.13,12.89,3.80,0,B,0.63,1
873,FE,2,8,F,22.01,-0.53,1.96,10.47,0,0,4.22,15.68,2.10,14.83,2.03,40.12,0.31,1.10,1.81,12.24,2.91,0,F,0.33,0
1475,UE,1,3,F,34.32,-0.42,2.34,9.28,0,0,1.81,9.84,1.62,11.52,0.96,24.96,0.21,3.76,6.99,13.44,2.33,0,F,0.64,1
5303,UE,2,6,B,39.93,-0.19,1.12,6.46,0,0,3.20,12.02,2.30,12.35,0.88,29.75,0.69,0.86,3.78,13.34,2.77,0,F,0.55,0
2687,W,2,8,B,40.85,0.31,0.79,2.51,0,0,4.02,13.29,3.41,13.39,0.60,32.78,0.22,0.64,5.54,13.76,0.33,1,F,0.51,0
8985,UE,2,6,F,35.63,-0.07,3.57,7.86,0,0,1.21,13.25,0.73,12.84,0.41,30.06,0.96,3.53,1.03,14.04,2.67,1,B,0.54,0
2124,W,1,3,F,40.50,0.64,1.06,2.76,0,0,0.66,11.14,0.58,11.21,1.24,20.21,2.52,3.06,3.57,12.39,4.12,0,B,0.77,1
805,W,2,3,F,36.09,0.72,2.07,3.29,0,0,2.31,12.88,0.51,11.28,1.17,22.93,1.61,1.85,2.11,11.05,4.40,0,B,0.54,1
8320,W,1,5,F,36.69,0.42,1.18,5.19,0,0,4.82,13.43,2.30,14.29,2.44,23.47,0.77,1.16,2.99,13.46,2.18,0,B,0.67,1
3749,UE,1,3,F,41.36,-0.24,0.47,7.32,0,0,1.56,12.54,0.22,11.06,0.74,21.63,1.41,3.31,2.96,13.30,2.30,0,F,0.73,1
3889,FE,2,4,F,31.82,1.52,1.06,3.52,0,1,2.98,15.20,2.44,13.04,0.39,33.12,0.98,0.41,1.26,10.69,3.19,1,F,0.36,0
5584,UE,2,4,B,32.75,0.49,0.25,2.46,1,0,1.43,12.90,1.99,12.58,0.60,36.14,0.66,1.92,1.72,13.22,4.42,0,B,0.44,0
5737,FE,2,5,B,25.55,2.23,0.21,0.80,0,1,1.99,14.36,3.29,13.50,1.49,41.88,0.81,0.55,1.44,13.28,4.02,0,F,0.38,1
2451,FE,1,10,F,37.07,0.78,1.80,0.64,0,1,4.44,12.46,0.42,13.48,3.90,22.94,0.18,2.51,3.92,10.77,3.25,0,B,0.51,0
7158,FE,2,4,F,28.26,0.91,1.84,0.38,1,1,3.97,11.85,1.37,11.19,2.55,23.12,0.71,1.66,0.04,7.32,1.27,1,F,0.34,0
4977,FE,1,3,F,26.57,0.71,4.41,4.77,1,0,1.24,11.11,1.93,11.21,0.69,35.81,0.36,2.38,4.26,11.71,4.68,0,F,0.37,1
6897,UE,2,19,B,35.97,1.36,3.01,1.79,0,1,5.06,14.83,1.07,14.75,3.99,31.29,0.71,2.96,3.33,12.60,0.90,1,B,0.45,1
6133,W,1,3,B,26.45,0.43,0.01,2.28,0,0,5.74,5.39,2.05,10.50,0.57,18.26,2.06,1.41,7.04,13.48,2.79,0,V,0.98,1
8692,W,1,3,F,39.58,0.29,1.51,4.41,0,0,0.96,11.00,0.49,11.00,0.47,22.01,1.38,3.88,4.05,12.55,4.74,0,F,0.68,1
7541,FE,2,6,B,34.38,2.03,3.66,4.71,0,1,4.93,15.49,0.20,15.65,4.73,32.71,1.06,2.31,1.39,11.55,1.87,0,F,0.40,0
4530,UE,2,6,B,34.36,-0.04,1.86,6.61,0,0,1.01,12.61,1.91,13.62,2.02,37.06,0.30,3.18,5.07,12.79,4.13,0,B,0.40,0
6703,FE,1,4,B,13.62,-0.10,1.89,9.84,0,0,9.94,6.76,3.23,11.00,5.77,12.55,0.70,1.41,7.92,6.84,0.60,1,U,0.70,0
6243,W,1,3,F,39.74,0.36,0.58,2.59,0,0,5.20,11.43,4.39,11.30,0.81,18.51,1.93,1.11,3.34,12.25,3.51,0,B,0.80,1
3700,W,1,5,B,17.73,0.37,4.05,7.80,0,0,1.39,4.32,2.63,3.23,1.77,24.30,1.48,0.05,7.89,13.59,2.46,1,V,0.75,1
6481,UE,2,5,F,29.16,0.43,0.37,4.46,1,0,2.47,12.19,0.71,12.38,1.76,31.42,1.14,2.53,1.11,14.07,1.20,1,F,0.55,1
