count,id,winner,forced.error,unforced.error,final.shot.won,server.is.impact.player,first.serve,rally,same.side,forehand,backhand,volley,speed,net.clearance,distance.from.sideline,depth,outside.sideline,outside.baseline,player.distance.travelled,player.impact.depth,player.impact.distance.from.center,player.depth,player.distance.from.center,previous.forehand,previous.backhand,previous.volley,previous.speed,previous.net.clearance,previous.distance.from.sideline,previous.depth,previous.time.to.net,opponent.depth,opponent.distance.from.center
27,1046,0,0,1,0,0,1,6,0,0,0,0,18.52,-0.61,2.81,10.09,0,0,6.29,8.50,1.41,13.84,1.91,0,1,0,14.15,0.10,2.38,7.89,0.57,7.59,0.58
28,5318,1,0,0,1,1,1,5,1,1,0,0,33.88,0.66,0.44,2.22,0,0,1.41,12.45,0.68,12.83,0.68,0,1,0,27.86,0.41,2.44,4.68,0.54,12.81,0.01
29,4313,0,1,0,0,0,0,6,1,0,1,0,34.21,0.69,1.48,2.25,1,0,0.39,13.88,1.02,14.10,0.71,1,0,0,32.01,0.74,2.24,3.64,0.53,14.22,0.66
30,3188,1,0,0,1,1,0,7,0,1,0,0,27.13,0.48,2.52,6.95,0,0,2.53,4.72,1.56,5.87,0.69,0,0,1,22.15,1.97,1.27,3.70,0.96,15.13,2.37
31,5709,0,1,0,0,1,0,3,0,1,0,0,29.50,-0.30,2.65,8.51,0,0,1.69,13.86,1.57,12.33,0.85,0,1,0,33.84,0.77,2.58,1.40,0.42,12.30,4.11
32,4905,0,1,0,0,0,1,6,0,0,1,0,37.28,1.09,0.22,3.11,1,1,2.10,12.27,3.12,13.24,1.26,0,1,0,28.53,0.53,2.01,5.14,0.54,12.77,3.66
33,2973,1,0,0,1,1,1,7,1,1,0,0,32.82,0.08,0.53,6.09,0,0,1.62,13.86,2.14,13.68,0.54,0,1,0,21.87,1.21,1.14,0.91,0.56,10.68,1.45
34,1962,0,1,0,0,0,1,12,0,1,0,0,36.43,-0.07,1.59,6.63,0,0,0.47,12.29,0.70,12.68,0.43,1,0,0,30.53,0.91,3.49,4.25,0.62,15.64,3.13
35,3765,1,0,0,1,0,0,4,0,1,0,0,34.03,1.21,1.97,4.13,0,0,3.89,12.91,1.79,11.39,1.79,0,1,0,28.96,0.39,0.75,4.72,0.54,13.12,4.47
36,3490,0,1,0,0,0,1,6,0,0,1,0,30.52,1.44,2.71,1.13,0,1,2.79,13.10,3.84,14.51,1.43,0,1,0,31.54,0.29,1.46,5.28,0.45,12.25,1.88
37,5823,0,1,0,0,1,1,3,0,1,0,0,12.68,-0.30,0.56,9.97,0,0,4.48,7.19,2.62,11.39,1.03,1,0,0,17.72,0.58,2.66,7.96,0.95,13.46,1.89
38,5000,0,1,0,0,0,1,4,1,0,0,1,23.19,2.64,0.40,0.07,0,0,2.69,16.31,2.61,14.42,0.69,1,0,0,38.08,0.69,0.80,0.92,0.34,11.93,0.24
39,1067,0,0,1,0,0,1,6,0,1,0,0,11.81,-0.95,2.39,0.68,0,1,0.58,15.32,1.48,15.22,2.06,0,0,1,20.61,2.41,1.45,1.00,0.26,6.66,1.06
40,2781,1,0,0,1,1,0,5,0,0,1,0,13.76,0.10,1.66,8.68,0,0,5.91,9.00,1.68,12.00,3.41,1,0,0,18.39,1.13,1.78,5.26,0.84,12.89,2.87
41,1700,1,0,0,1,1,0,5,0,0,1,0,36.39,0.55,0.43,1.64,0,0,1.99,13.32,2.70,12.98,0.74,0,1,0,34.56,0.86,1.42,3.50,0.58,16.33,0.79
42,1532,0,0,1,0,0,0,4,1,0,1,0,32.89,-0.42,0.92,8.76,0,0,5.77,13.95,3.30,11.89,2.09,0,1,0,29.15,0.92,0.87,2.29,0.51,12.66,0.35
43,3183,0,1,0,0,1,1,3,0,0,1,0,33.55,-0.16,1.13,6.80,0,0,1.77,12.30,0.71,11.29,0.74,0,1,0,29.15,0.59,2.44,3.74,0.51,12.83,3.46
44,1413,0,1,0,0,1,1,7,0,0,0,1,24.36,2.92,2.88,2.55,0,0,1.41,9.89,0.79,11.14,0.13,0,0,0,43.81,0.49,1.23,3.29,0.45,16.24,0.17
45,946,0,0,1,0,0,1,4,0,0,1,0,23.45,4.59,1.22,1.17,0,0,4.92,14.67,2.30,13.17,2.38,0,0,0,27.07,0.32,1.25,4.24,0.38,9.65,0.46
46,425,0,0,1,0,1,1,3,0,1,0,0,27.73,-0.18,1.12,7.23,0,0,0.51,11.68,1.23,11.24,1.49,1,0,0,34.74,0.41,2.84,3.33,0.40,12.22,4.66
47,866,1,0,0,1,1,1,5,1,1,0,0,37.40,0.29,0.73,2.71,0,0,6.46,10.49,3.23,12.40,2.95,1,0,0,20.97,0.92,1.11,7.06,0.82,13.84,0.95
48,5725,1,0,0,1,1,1,5,1,0,0,0,39.35,0.16,2.21,7.79,0,0,4.39,7.18,1.18,6.24,3.11,0,0,1,22.36,1.97,3.28,2.61,0.33,15.24,0.33
49,3046,1,0,0,1,1,0,3,0,1,0,0,35.52,0.62,0.53,2.07,0,0,0.60,12.74,0.81,12.16,0.96,0,1,0,32.77,0.22,3.22,5.19,0.45,12.84,3.62
50,873,1,0,0,1,0,0,4,0,1,0,0,41.27,0.07,1.19,5.71,0,0,3.81,9.05,0.34,10.84,3.71,0,0,1,20.64,3.80,3.40,3.03,0.92,14.08,2.45
51,4631,1,0,0,1,1,1,5,0,0,1,0,31.60,0.40,1.56,3.90,0,0,7.06,7.08,5.24,12.89,1.23,0,1,0,16.99,1.05,0.37,9.02,1.14,12.95,4.14
52,2798,1,0,0,1,0,0,6,0,0,1,0,34.91,0.48,0.02,2.58,0,0,0.20,13.79,1.33,13.68,1.16,0,1,0,33.25,0.70,2.87,3.39,0.49,13.76,1.95
53,5190,1,0,0,1,1,1,13,0,1,0,0,29.37,0.17,1.69,5.22,0,0,8.06,6.89,0.46,14.93,0.15,1,0,0,12.53,1.36,3.85,7.26,0.85,7.86,0.60
54,2228,1,0,0,1,1,1,3,0,0,1,0,37.52,0.54,0.71,0.34,0,0,0.95,12.27,0.73,11.33,0.72,1,0,0,27.07,0.62,2.79,4.72,0.54,12.40,4.28
55,4553,1,0,0,1,1,1,7,1,0,1,0,14.25,1.18,1.60,4.44,0,0,0.55,5.15,0.80,5.11,0.25,0,0,1,28.62,1.52,4.10,6.95,0.63,14.87,3.16
56,2498,0,1,0,0,0,1,4,0,1,0,0,22.91,-0.02,0.48,8.81,0,0,1.19,15.04,2.14,14.16,1.33,1,0,0,39.26,0.21,2.47,4.56,0.34,12.20,1.56
57,1432,1,0,0,1,1,0,5,0,1,0,0,37.08,0.24,0.73,4.22,0,0,0.69,12.69,0.74,12.11,1.12,0,1,0,25.68,1.43,3.63,2.34,0.68,14.79,2.40
58,5389,1,0,0,1,0,1,8,1,1,0,0,22.06,0.35,0.60,2.32,1,0,5.77,5.38,1.76,10.54,0.82,0,1,0,8.48,0.88,1.84,7.97,0.45,3.55,0.20
59,5493,1,0,0,1,1,0,7,0,1,0,0,38.90,0.21,0.69,4.23,0,0,1.88,13.62,2.24,13.09,0.43,0,1,0,30.14,0.95,3.38,3.03,0.54,14.13,1.13
60,3700,0,1,0,0,1,0,5,1,1,0,0,34.23,-0.08,2.52,7.14,0,0,1.20,13.59,0.66,14.18,0.39,1,0,0,32.02,0.63,3.22,3.97,0.51,13.77,0.76
61,1965,0,1,0,0,1,1,7,1,0,0,0,27.72,0.48,0.05,4.12,0,0,2.65,3.67,1.18,3.50,1.47,0,0,1,17.40,1.98,2.36,8.44,1.01,12.63,1.40
62,762,0,1,0,0,0,1,6,0,1,0,0,31.18,0.82,3.54,3.75,0,0,2.27,13.89,2.93,13.79,0.66,0,1,0,33.50,0.79,3.03,3.10,0.52,14.90,1.96
63,1984,0,1,0,0,0,0,4,0,0,1,0,30.08,0.36,3.05,6.26,0,0,2.09,15.17,1.62,13.74,0.11,1,0,0,33.63,1.18,2.13,0.76,0.47,13.73,0.38
64,2514,1,0,0,1,0,1,10,0,0,1,0,34.85,0.45,0.47,3.01,0,0,0.36,13.11,1.79,12.89,1.51,0,1,0,30.81,0.66,2.45,3.94,0.52,13.67,0.87
65,5428,0,1,0,0,1,1,7,0,1,0,0,34.29,1.36,0.55,0.23,0,1,3.01,15.63,1.88,14.42,0.88,0,1,0,34.57,0.67,1.27,3.19,0.48,14.20,2.64
66,49,1,0,0,1,0,1,8,1,1,0,0,36.60,0.38,0.69,1.97,0,0,1.97,10.65,0.71,12.46,1.49,1,0,0,22.94,0.67,3.92,4.87,0.78,15.03,2.51
67,3043,0,1,0,0,1,1,7,0,1,0,0,31.70,-0.27,1.27,8.78,0,0,2.26,14.54,1.76,13.81,0.37,1,0,0,36.88,0.32,2.13,5.14,0.42,13.57,1.19
68,2000,0,0,1,0,1,1,11,0,1,0,0,33.65,1.55,1.81,1.45,0,1,0.46,15.34,4.21,15.50,3.78,1,0,0,34.09,0.84,0.48,1.75,0.41,12.06,2.36
69,3959,0,1,0,0,0,0,4,0,1,0,0,34.86,0.42,0.18,3.49,1,0,0.96,10.58,2.58,11.36,2.03,0,1,0,20.86,0.85,3.18,4.87,0.70,12.28,1.26
70,549,1,0,0,1,0,1,8,1,0,0,0,26.77,0.47,0.65,3.67,0,0,3.87,9.03,3.16,12.42,1.28,1,0,0,11.53,1.41,0.62,4.81,0.49,4.65,0.75
71,2782,0,1,0,0,1,1,5,0,1,0,0,34.69,1.37,2.81,1.13,0,1,0.89,13.03,0.11,12.62,0.90,0,1,0,29.16,0.62,3.04,3.80,0.57,14.47,2.00
72,5548,0,1,0,0,0,1,8,1,0,1,0,28.45,0.58,2.09,0.67,0,1,2.68,13.78,2.93,13.24,0.30,1,0,0,32.17,0.43,0.77,4.86,0.53,14.39,0.47
73,1953,0,0,1,0,1,1,7,1,1,0,0,17.37,1.64,7.57,9.14,1,0,4.16,11.70,0.80,14.79,1.98,0,1,0,18.33,0.21,2.40,0.99,0.23,4.47,0.00
74,4578,0,0,1,0,1,1,7,1,1,0,0,35.58,-0.29,0.65,7.58,0,0,5.59,14.63,3.49,14.54,2.10,1,0,0,29.90,0.49,1.87,4.87,0.39,10.38,2.21
75,1060,0,1,0,0,1,0,7,1,0,1,0,31.37,1.76,1.11,1.04,0,1,3.18,14.72,3.02,14.83,0.16,1,0,0,36.55,0.41,1.56,3.69,0.40,12.86,1.39
76,1446,1,0,0,1,1,1,11,0,1,0,0,32.87,0.16,1.96,6.32,0,0,1.01,15.19,0.75,15.13,0.26,1,0,0,37.78,0.18,2.11,4.77,0.28,9.79,2.94
77,2521,0,1,0,0,0,1,6,1,1,0,0,30.02,-0.23,1.59,8.03,0,0,1.70,12.95,1.63,12.99,0.07,1,0,0,34.62,1.06,2.25,1.59,0.52,15.02,3.09
78,1674,0,1,0,0,1,0,5,0,1,0,0,36.00,0.16,0.27,4.25,1,0,0.79,12.52,1.00,12.63,0.22,1,0,0,34.24,0.62,3.13,3.68,0.50,14.08,3.11
79,3010,1,0,0,1,1,0,9,0,0,1,0,29.51,0.65,0.01,2.87,0,0,2.48,10.47,0.11,12.52,1.50,1,0,0,26.96,0.30,2.24,6.06,0.62,13.90,5.27
80,5926,1,0,0,1,0,1,4,0,0,1,0,7.37,-0.95,3.18,7.00,0,0,0.66,15.01,1.38,15.68,1.38,1,0,0,40.40,0.33,3.86,3.30,0.31,7.79,3.07
81,3870,0,1,0,0,1,1,9,0,0,1,0,18.68,-0.11,1.52,9.13,0,0,0.37,13.48,0.92,13.85,0.93,1,0,0,30.34,0.87,2.58,2.90,0.52,13.40,0.73
82,4597,0,0,1,0,0,0,4,0,0,0,0,29.54,-0.19,2.69,9.07,0,0,2.47,15.06,1.87,14.53,0.55,1,0,0,34.62,0.41,0.68,3.99,0.40,12.41,1.87
83,2895,0,1,0,0,0,1,4,0,0,1,0,33.38,1.60,3.44,2.66,0,1,4.86,14.09,1.97,12.32,2.55,1,0,0,31.45,0.65,1.20,2.17,0.44,12.43,3.41
84,3083,0,1,0,0,1,0,5,0,0,1,0,23.47,3.23,0.97,1.91,0,0,1.57,14.63,2.90,14.67,1.33,1,0,0,36.97,0.56,1.22,1.74,0.32,10.17,2.91
85,3913,0,0,1,0,1,0,5,0,1,0,0,29.78,-0.08,3.34,8.16,0,0,3.85,14.78,1.87,13.63,1.81,0,1,0,33.41,0.44,1.08,3.04,0.39,11.95,2.49
86,4406,0,1,0,0,0,1,10,0,0,1,0,19.54,-0.11,0.73,5.33,0,0,3.11,5.61,1.42,8.72,1.48,0,0,1,23.49,1.09,2.21,6.84,0.81,15.31,2.32
87,1628,1,0,0,1,0,1,4,0,1,0,0,35.44,0.10,0.90,6.05,0,0,0.79,12.95,1.65,12.52,2.31,0,1,0,28.14,0.60,3.94,4.28,0.56,13.49,2.58
88,4195,0,1,0,0,1,1,5,0,1,0,0,28.78,-0.22,3.72,8.69,0,0,0.83,13.62,2.04,14.05,1.34,1,0,0,35.44,0.16,2.90,5.88,0.45,13.58,2.18
89,1894,0,1,0,0,0,1,4,0,1,0,0,36.13,-0.08,0.98,8.05,0,0,3.62,13.61,2.76,12.81,0.77,1,0,0,26.72,1.18,2.12,3.93,0.65,14.54,1.68
90,4776,0,0,1,0,0,0,8,1,1,0,0,31.84,0.33,0.24,3.12,1,0,1.80,12.44,0.03,13.77,1.24,0,1,0,22.07,0.18,3.69,4.36,0.31,6.82,0.25
91,3360,0,1,0,0,1,0,5,1,0,0,0,35.40,0.50,0.58,2.10,1,0,0.59,12.69,1.22,12.67,0.63,1,0,0,30.11,0.56,2.10,4.91,0.57,14.45,1.12
92,5437,1,0,0,1,1,0,9,0,0,1,0,15.68,0.23,1.36,8.98,0,0,0.94,12.26,1.62,12.81,0.85,0,1,0,31.74,0.53,2.93,4.42,0.53,13.92,3.05
93,1458,1,0,0,1,1,0,9,0,0,1,0,36.34,0.52,0.67,0.28,0,0,0.67,12.69,1.35,13.35,1.24,0,1,0,33.46,0.58,2.84,3.38,0.49,14.05,2.46
94,5814,0,1,0,0,0,0,6,1,0,1,0,31.18,-0.30,3.10,8.84,0,0,0.92,12.58,0.71,13.50,0.77,1,0,0,29.17,0.28,2.41,6.66,0.61,14.98,1.40
95,2151,0,1,0,0,0,1,10,0,1,0,0,33.72,0.01,1.56,6.73,0,0,4.41,10.17,2.61,12.38,1.20,0,1,0,19.94,0.56,1.00,5.29,0.76,12.80,3.46
96,5417,1,0,0,1,0,0,8,1,1,0,0,39.35,0.38,1.27,1.00,0,0,2.40,10.94,1.19,13.01,0.02,1,0,0,21.76,1.45,2.76,3.68,0.85,14.22,2.80
97,1052,0,1,0,0,0,1,8,1,1,0,0,36.98,-0.07,0.49,6.36,1,0,2.28,12.66,1.36,12.56,0.92,1,0,0,29.76,0.39,2.78,6.16,0.59,14.71,0.37
98,1549,0,1,0,0,0,1,8,0,0,1,0,24.37,2.41,0.08,1.71,1,1,2.59,14.37,2.84,13.60,0.36,1,0,0,30.81,0.38,0.95,4.49,0.48,12.84,0.57
99,1143,1,0,0,1,0,0,6,1,0,1,0,27.44,0.29,0.92,5.02,0,0,5.50,13.25,3.52,15.75,1.38,1,0,0,22.58,0.66,2.54,5.77,0.20,4.39,2.54
100,2060,0,1,0,0,1,0,3,0,1,0,0,25.23,-0.47,2.53,10.20,0,0,1.74,13.09,1.81,11.67,0.80,0,1,0,30.48,1.16,1.98,1.63,0.51,13.23,2.99
101,3564,0,1,0,0,0,0,8,0,1,0,0,30.63,-0.34,1.68,8.17,0,0,3.40,13.70,1.97,13.34,1.41,0,1,0,27.21,0.33,1.57,2.66,0.62,12.92,1.47
102,2240,1,0,0,1,0,1,6,0,1,0,0,34.39,0.74,0.24,1.68,0,0,1.62,12.61,1.28,13.65,0.04,1,0,0,26.75,0.68,4.07,5.41,0.59,13.44,2.88
103,4674,0,0,1,0,0,0,8,0,1,0,0,21.49,0.53,0.40,2.29,0,1,11.00,5.33,2.20,14.29,4.18,0,0,0,13.72,0.91,1.63,8.29,1.00,11.03,2.59
104,1260,0,1,0,0,1,0,9,0,0,1,0,25.82,-0.07,2.78,5.46,0,0,2.88,10.83,3.72,12.58,1.43,0,0,0,21.07,0.58,1.76,7.14,0.40,6.93,1.67
105,4568,0,1,0,0,0,1,8,0,1,0,0,30.08,0.90,0.61,3.94,1,0,2.24,13.53,1.09,13.52,1.15,1,0,0,32.32,0.50,2.48,4.97,0.54,14.85,1.10
106,205,0,0,1,0,0,1,10,0,0,1,0,24.66,0.18,1.11,7.42,1,0,1.79,11.62,2.70,12.43,1.10,0,1,0,21.00,0.54,1.08,2.74,0.47,9.20,1.64
107,5181,0,1,0,0,1,1,5,0,0,1,0,30.13,-0.03,2.41,7.17,0,0,1.35,13.45,1.46,12.60,0.40,0,1,0,30.64,0.89,2.37,2.00,0.52,13.70,1.95
108,4110,1,0,0,1,0,1,4,0,1,0,0,35.16,0.64,0.40,2.34,0,0,3.07,13.47,0.82,12.69,2.15,0,1,0,30.64,0.66,2.12,2.80,0.51,12.90,2.17
109,2415,0,0,1,0,0,0,4,0,1,0,0,27.08,-0.26,1.39,9.82,0,0,6.58,13.76,2.36,11.59,3.86,0,1,0,23.53,0.47,0.93,2.14,0.56,11.75,3.96
110,1048,1,0,0,1,1,1,5,0,1,0,0,30.42,0.69,0.54,3.99,0,0,1.19,11.72,1.21,10.67,0.64,1,0,0,33.01,0.52,2.89,4.58,0.54,14.90,2.83
111,4561,1,0,0,1,1,0,7,0,0,1,0,31.47,0.86,0.21,1.16,0,0,2.09,13.71,2.89,13.78,0.79,0,0,0,33.61,0.88,1.02,1.63,0.48,13.36,2.88
112,2902,1,0,0,1,0,0,6,1,0,0,0,30.36,0.03,1.27,5.11,0,0,4.36,8.73,2.02,12.78,0.40,1,0,0,19.21,0.70,2.15,7.04,0.90,14.04,2.97
113,2626,0,1,0,0,1,1,3,0,1,0,0,32.79,1.37,1.74,1.19,0,1,1.69,13.13,1.23,11.72,0.31,1,0,0,31.26,0.79,3.84,3.18,0.46,12.63,1.44
114,3024,1,0,0,1,0,0,8,1,1,0,0,30.07,0.75,0.85,5.46,0,0,2.39,14.07,2.15,13.79,0.22,0,1,0,35.02,0.34,1.52,3.92,0.43,12.99,0.99
115,835,0,1,0,0,0,1,4,1,1,0,0,38.39,-0.04,2.27,7.22,0,0,1.74,12.72,1.22,12.72,0.52,0,1,0,23.85,1.45,4.11,3.14,0.67,13.39,0.04
116,2767,0,0,1,0,1,1,7,0,0,1,0,29.54,-0.16,2.21,7.69,0,0,2.55,13.93,3.75,13.82,1.21,0,1,0,34.35,0.49,0.95,4.04,0.44,13.04,1.46
117,778,1,0,0,1,0,0,4,0,1,0,0,42.72,0.25,2.74,8.05,0,0,7.78,3.76,1.43,11.20,0.86,1,0,0,14.61,1.99,3.25,9.18,1.63,13.69,3.80
118,5778,0,1,0,0,1,1,7,0,1,0,0,28.76,-0.43,1.66,9.47,0,0,0.75,13.59,0.94,13.47,1.68,0,1,0,33.22,0.22,3.71,4.74,0.44,13.12,0.78
119,398,1,0,0,1,1,1,9,0,1,0,0,35.90,0.61,0.69,2.04,0,0,3.13,10.53,3.05,13.06,1.21,0,1,0,24.85,2.49,2.68,4.21,0.88,16.71,2.95
120,4554,1,0,0,1,1,0,15,1,1,0,0,32.47,0.61,0.27,4.55,0,0,5.13,8.92,2.78,12.34,1.04,1,0,0,20.29,1.95,1.37,5.12,0.98,14.93,2.01
121,3014,0,0,1,0,0,1,6,0,1,0,0,18.96,-0.27,0.24,6.18,0,0,8.51,6.03,1.71,13.54,2.28,0,1,0,14.38,0.06,2.43,9.73,1.01,12.36,1.62
122,5211,1,0,0,1,1,1,3,0,1,0,0,37.27,0.32,0.33,2.39,0,0,2.61,12.26,3.26,11.40,0.80,0,0,0,33.29,0.32,2.01,5.75,0.42,12.07,3.21
123,3749,0,0,1,0,1,1,3,0,0,1,0,22.11,2.41,3.06,1.60,0,1,1.20,12.40,1.45,11.33,0.91,0,1,0,31.23,0.88,1.97,0.21,0.43,11.63,3.74
124,3396,0,1,0,0,1,0,7,1,0,0,0,27.35,-0.02,3.77,4.77,0,0,3.96,12.36,2.47,11.66,1.43,0,1,0,30.83,0.91,1.42,2.49,0.56,14.71,1.67
125,4995,0,0,1,0,0,1,8,0,0,1,0,19.02,-0.19,2.99,9.66,0,0,0.04,13.70,1.55,13.70,1.59,0,0,0,41.18,0.97,2.36,1.80,0.12,5.00,1.51
126,1388,0,0,1,0,1,1,7,0,1,0,0,23.23,-0.74,2.64,10.91,0,0,3.34,14.82,2.32,14.04,0.93,0,1,0,33.99,0.52,1.02,2.22,0.41,12.57,1.41
127,290,0,1,0,0,1,1,3,0,1,0,0,29.95,-0.15,2.98,8.16,0,0,1.38,12.01,0.21,11.32,0.99,1,0,0,26.06,0.24,2.80,7.17,0.53,12.21,2.69
128,5182,0,1,0,0,1,1,9,0,1,0,0,33.77,1.21,2.40,3.40,0,0,0.94,13.31,0.17,13.77,0.66,1,0,0,28.70,0.48,3.78,5.54,0.54,13.43,2.83
129,1357,0,1,0,0,0,0,4,1,1,0,0,36.63,0.48,0.59,2.15,1,0,0.89,12.89,1.03,12.02,1.24,0,1,0,27.71,0.57,2.42,4.34,0.57,13.40,0.11
130,353,0,1,0,0,0,0,4,0,0,1,0,35.46,0.92,1.57,2.18,0,1,0.43,12.23,2.14,12.45,1.77,0,1,0,27.72,0.48,2.97,5.20,0.54,12.64,4.34
131,5061,0,0,1,0,1,1,13,0,1,0,0,34.88,1.47,1.96,3.28,0,1,2.96,13.75,4.16,15.02,1.48,1,0,0,30.48,0.44,1.05,4.89,0.43,11.33,2.02
132,4511,1,0,0,1,1,1,5,0,0,0,1,28.21,0.01,3.96,11.88,0,0,3.24,13.53,3.34,13.15,0.12,0,1,0,25.85,0.19,0.93,3.21,0.49,11.19,0.33
133,2704,1,0,0,1,1,1,3,0,1,0,0,30.12,0.91,0.55,3.49,0,0,1.65,13.66,0.04,12.23,0.76,0,1,0,30.63,0.57,4.08,4.16,0.45,12.12,4.06
134,3831,0,0,1,0,0,1,12,0,1,0,0,22.46,2.94,1.43,8.12,0,0,3.99,14.80,4.37,14.69,0.38,1,0,0,34.24,0.51,0.59,4.78,0.47,13.71,1.22
